Variable,Coefficient,Std Error,z,P>|z|,[0.025,0.975]
Intercept,-1.615402988651513,1.5575415089696223,-1.0371492376599123,0.29966631126711374,-4.6681282506581425,1.4373222733551163
C(udn)[T.2],0.8433619325451022,0.6282159052805009,1.3424714743071298,0.17944317350029415,-0.38791861631990543,2.07464248141011
C(udn)[T.3],0.726325623623988,0.6983989723857963,1.039986672865213,0.29834609241185783,-0.6425112090919566,2.0951624563399327
C(udn)[T.4],1.1162356418092791,0.6563316855553595,1.700718807846019,0.08899580167494733,-0.1701508237916931,2.4026221074102514
C(udn)[T.5],0.43504108462859414,0.7390737352630814,0.5886301513254784,0.5561094031569114,-1.013516818406536,1.8835989876637242
C(udn)[T.6],0.3644515931817683,0.709070185777584,0.5139852168260348,0.6072623263684933,-1.0253004334534217,1.7542036198169582
C(udn)[T.7],0.37685644448050515,0.6744266588005348,0.5587804686587314,0.5763115536571882,-0.9449955169822264,1.6987084059432367
C(udn)[T.8],0.5352295164288396,0.6558396304665528,0.8160981611435814,0.41444399557389644,-0.7501925389196618,1.820651571777341
C(udn)[T.9],0.6501406378306036,0.783236623348835,0.8300692516788076,0.4064996306464709,-0.8849749353058767,2.1852562109670837
year_index,-3.433847544508051e-16,4.1729409448336013e-16,-0.8228842894983691,0.41057379759221446,-1.1612661505994455e-15,4.744966416978352e-16
sin_doy,0.41313026421069604,1.1703483669155277,0.352997685039291,0.724090176038235,-1.8807103843090067,2.706970912730399
cos_doy,0.8285818424224075,1.0355738019032517,0.8001185824704917,0.42364209574570555,-1.201105512641182,2.8582691974859973
mars_score,0.0013104870435651146,0.005364076944628288,0.24430802486483102,0.8069922688136036,-0.009202910578207983,0.011823884665338211
saturn_score,0.002052198722256535,0.0060169484216338635,0.34106968822898326,0.7330511198119047,-0.009740803480980963,0.01384520092549403
sun_score,0.0008846647382427795,0.006209411877809247,0.14247158276041105,0.8867075240492013,-0.011285558907438572,0.013054888383924131
moon_score,-0.0011015111232361545,0.005181820534384361,-0.21257222551938926,0.8316606371326236,-0.011257692744979599,0.009054670498507288
