Variable,Coefficient,Std Error,z,P>|z|,[0.025,0.975]
Intercept,-0.8999589152934269,0.3876265411433925,-2.321716445522006,0.020248208836855696,-1.6596929753863097,-0.14022485520054406
C(udn)[T.3],0.0506721595090375,0.21720322592236457,0.23329377035656626,0.8155332956993322,-0.37503834062471375,0.4763826596427887
C(udn)[T.4],0.2557872214501486,0.21061113718109395,1.21449997789153,0.22455685826946725,-0.15700302216782025,0.6685774650681174
C(udn)[T.5],0.23955561446651177,0.2115958584215258,1.132137539239008,0.25757661480234373,-0.1751646473175151,0.6542758762505386
C(udn)[T.6],0.24589190910452013,0.2116165977276022,1.1619689180573536,0.24524809059873287,-0.1688690009724808,0.6606528191815211
C(udn)[T.7],0.01881887076030156,0.2188296458748285,0.08599781206549151,0.9314681565028495,-0.4100793539040163,0.44771709542461946
C(udn)[T.8],0.14290865226990757,0.2130067957624835,0.6709112343498189,0.5022770791006563,-0.2745769958868391,0.5603943004266543
C(udn)[T.9],-0.28427572567460413,0.23063617475569662,-1.2325721495152513,0.21773543297634945,-0.7363143217278555,0.16776287037864723
C(udn)[T.11],0.14408405872768426,0.21284279024871453,0.6769506195597079,0.4984372855933429,-0.27308014452880924,0.5612482619841778
year_index,0.010879550837347986,0.062277065967888214,0.1746959441370887,0.8613185548779754,-0.11118125552253799,0.13294035719723396
sin_doy,-0.06205433086319201,0.08039729530558827,-0.7718460008800659,0.44020564282844477,-0.21963013411657617,0.09552147239019215
cos_doy,0.149238007386787,0.07620649327169172,1.9583371571071115,0.05019046348907235,-0.00012397481382273035,0.29859998958739675
mars_score,-0.004797389790202531,0.002916563440752043,-1.6448775717237656,0.09999506097841623,-0.010513749092702755,0.0009189695122976934
saturn_score,2.3364853532603647e-05,0.0025528232820380583,0.009152554231623197,0.9926974202420895,-0.004980076838157327,0.005026806545222535
sun_score,0.0015451725279199207,0.0029972682854575187,0.5155269334470196,0.6061848537283578,-0.004329365363580934,0.007419710419420775
moon_score,-0.0003093645797667961,0.0024651654314649706,-0.12549444991322567,0.900132118632387,-0.005141000041371281,0.00452227088183769
